"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Albania","ES - Structure of Earnings Survey","Average hourly earnings of employees by sex","Male","Currency: 2021 PPP $","2018",5.756,,,"Currency: ALB - Lek (ALL)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Albania","ES - Structure of Earnings Survey","Average hourly earnings of employees by sex","Male","Currency: U.S. dollars","2018",2.806,,,"Currency: ALB - Lek (ALL)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Albania","ES - Structure of Earnings Survey","Average hourly earnings of employees by sex","Female","Currency: Local currency","2018",282,,,"Currency: ALB - Lek (ALL)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Albania","ES - Structure of Earnings Survey","Average hourly earnings of employees by sex","Female","Currency: 2021 PPP $","2018",5.357,,,"Currency: ALB - Lek (ALL)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Albania","ES - Structure of Earnings Survey","Average hourly earnings of employees by sex","Female","Currency: U.S. dollars","2018",2.611,,,"Currency: ALB - Lek (ALL)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: Local currency","2023",1265.899,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2023",8.225,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: U.S. dollars","2023",4.273,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Male","Currency: Local currency","2023",1274.291,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Male","Currency: 2021 PPP $","2023",8.28,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Male","Currency: U.S. dollars","2023",4.301,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Female","Currency: Local currency","2023",1256.201,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Female","Currency: 2021 PPP $","2023",8.162,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Female","Currency: U.S. dollars","2023",4.24,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: Local currency","2022",553.266,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2022",8.062,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: U.S. dollars","2022",4.236,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Male","Currency: Local currency","2022",553.141,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Male","Currency: 2021 PPP $","2022",8.06,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
